Name,AgeinMonths,Observation,Video,BoutID,Duration,EC_start,EC_end,Constrain_infant,Posture_mother,Distance,Initiator
A,10,A_10,A_10_1,1,1840,2920,4760,free,sit,0.257832767,mother
A,10,A_10,A_10_1,2,2679,22994,25673,free,sit,0.345383439,mother
A,10,A_10,A_10_1,3,3819,110175,113994,free,sit,0.156995357,infant
A,10,A_10,A_10_1,4,840,117372,118212,free,sit,0.315322445,infant
A,10,A_10,A_10_1,5,1718,154644,156362,free,sit,0.318350396,mother
A,10,A_10,A_10_1,6,1220,165141,166361,free,sit,0.278266602,mother
A,10,A_10,A_10_1,7,1757,209432,211189,free,sit,0.405654169,mother
A,10,A_10,A_10_1,8,940,221889,222829,free,sit,0.282393118,mother
A,10,A_10,A_10_1,9,1060,260939,261999,free,sit,0.304998959,mother
A,10,A_10,A_10_1,10,80,290010,290090,free,sit,0.293338323,mother
A,10,A_10,A_10_1,11,4220,294049,298269,free,sit,0.215730128,mother
A,10,A_10,A_10_1,12,1580,305706,307286,free,sit,0.308413518,mother
A,10,A_10,A_10_1,13,2680,309046,311726,free,sit,0.310973287,NA
A,10,A_10,A_10_1,14,2920,337540,340460,free,sit,0.371150532,mother
A,10,A_10,A_10_1,15,820,419280,420100,free,sit,0.31171271,mother
A,10,A_10,A_10_1,16,920,469348,470268,free,sit,0.292170806,same
A,10,A_10,A_10_1,17,2400,522774,525174,free,sit,0.178134453,NA
A,10,A_10,A_10_1,18,7760,546048,553808,free,sit,0.388022624,mother
A,10,A_10,A_10_1,19,660,555327,555987,free,sit,0.314404234,NA
A,10,A_10,A_10_1,20,620,557505,558125,free,sit,0.355997432,NA
A,10,A_10,A_10_1,21,2100,559565,561665,free,sit,0.313059758,NA
A,10,A_10,A_10_1,22,1140,562885,564025,free,sit,0.284832226,NA
A,10,A_10,A_10_1,23,5877,567225,573102,free,sit,0.156998638,infant
A,10,A_10,A_10_1,24,460,612372,612832,free,sit,0.247034428,mother
A,10,A_10,A_10_1,25,2798,647524,650322,free,sit,0.210458552,infant
A,10,A_10,A_10_1,26,1277,675318,676595,free,sit,0.24677452,same
A,10,A_10,A_10_1,27,940,682915,683855,free,sit,0.217726002,mother
A,10,A_10,A_10_1,28,760,727685,728445,free,sit,0.20903422,infant
A,10,A_10,A_10_1,29,1140,758135,759275,free,sit,0.389171414,infant
A,10,A_10,A_10_1,30,1040,760555,761595,free,sit,0.345712332,mother
A,10,A_10,A_10_1,31,320,765015,765335,free,sit,0.315606269,mother
A,10,A_10,A_10_1,32,200,771372,771572,free,sit,0.257237875,NA
A,10,A_10,A_10_1,33,679,774872,775551,free,sit,0.340373994,mother
A,10,A_10,A_10_1,34,1177,782391,783568,free,sit,0.41796329,infant
A,10,A_10,A_10_1,35,740,786308,787048,free,sit,0.317392719,mother
A,10,A_10,A_10_1,36,300,835419,835719,free,sit,0.370709029,NA
A,10,A_10,A_10_1,37,240,856312,856552,free,sit,0.40108529,infant
A,10,A_10,A_10_1,38,1040,867269,868309,free,sit,NaN,mother
A,10,A_10,A_10_1,39,400,913158,913558,constrained,sit,0.159882851,mother
A,10,A_10,A_10_1,40,440,915138,915578,constrained,sit,0.233411647,mother
A,10,A_10,A_10_1,41,1620,918055,919675,constrained,sit,0.219988705,mother
A,10,A_10,A_10_1,42,2040,922015,924055,constrained,sit,0.288146901,mother
A,10,A_10,A_10_1,43,2720,925495,928215,constrained,sit,0.23798201,mother
A,10,A_10,A_10_1,44,7680,930292,937972,constrained,sit,0.30243203,infant
A,10,A_10,A_10_1,45,800,940352,941152,constrained,sit,0.244224347,mother
A,10,A_10,A_10_1,46,2900,956446,959346,constrained,sit,0.250790601,mother
A,10,A_10,A_10_1,47,500,965085,965585,constrained,sit,0.116121324,mother
A,10,A_10,A_10_1,48,420,985739,986159,constrained,sit,0.169265867,mother
A,10,A_10,A_10_1,49,620,993918,994538,constrained,sit,0.189233312,mother
A,10,A_10,A_10_1,50,819,1046165,1046984,free,sit,0.242331592,mother
A,10,A_10,A_10_1,51,800,1135760,1136560,free,sit,0.187997988,mother
A,10,A_10,A_10_1,52,820,1340149,1340969,free,sit,0.134494185,mother
A,10,A_10,A_10_1,53,240,1377618,1377858,free,sit,NaN,mother
A,10,A_10,A_10_1,54,937,1409012,1409949,free,sit,0.166737012,infant
A,10,A_10,A_10_1,55,1580,1511404,1512984,free,sit,0.215237249,mother
A,10,A_10,A_10_1,56,1440,1868548,1869988,constrained,sit,0.162455712,mother
A,10,A_10,A_10_1,57,5917,1896842,1902759,constrained,sit,0.306960952,mother
A,10,A_10,A_10_1,58,1980,1904279,1906259,constrained,sit,0.163237855,infant
A,10,A_10,A_10_1,59,2400,1907518,1909918,constrained,sit,0.12923158,infant
